#大阪の平均気温（気象庁からCSVファイル取得）
#年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2023/4/23,14.7,22.6,9.2
2023/4/24,13.5,16.8,11.3
2023/4/25,13.1,16.3,10.2
2023/4/26,14.6,16.5,10.7
2023/4/27,15.9,21.1,9.9
2023/4/28,17.3,22.5,11.9
2023/4/29,18.4,24.0,14.6
2023/4/30,17.5,19.8,14.7
2023/5/1,16.3,22.7,11.3
2023/5/2,16.9,22.9,11.7
2023/5/3,18.1,23.2,11.9
2023/5/4,20.1,24.2,16.0
2023/5/5,21.4,25.9,16.5
2023/5/6,22.1,27.2,19.3
2023/5/7,19.4,20.7,14.6
2023/5/8,15.6,19.5,13.3
2023/5/9,17.5,23.8,11.7
2023/5/10,19.6,25.4,13.2
2023/5/11,19.1,25.9,14.2
2023/5/12,18.8,26.4,11.9
2023/5/13,18.1,23.5,15.3
2023/5/14,17.1,19.8,15.0
2023/5/15,20.1,26.4,15.9
2023/5/16,21.5,27.1,15.3
2023/5/17,24.0,30.3,18.3
2023/5/18,23.0,27.7,19.5
2023/5/19,18.9,20.7,17.6
2023/5/20,20.7,24.7,17.6
2023/5/21,22.3,28.0,16.9
2023/5/22,22.2,28.6,15.7
2023/5/23,18.5,23.6,15.5
